,H,G,S,4-O-5,alpha-O-4,beta-O-4,5-5,beta-5,beta-beta,beta-1,branching_coeff,MW,monomer_count,OH_count,OCH3_count,smiles
0,0,23,26,3,0,35,3.0,2,2,0,0.20408163265306123,10144.38,49,48.0,75.0,OCC(Oc1c(OC)cc(C(O)C(Oc2c(OC)cc(C3C4COC(C4CO3)c3cc(OC)c(OC(CO)C(O)c4cc(OC)c(OC(CO)C(O)c5cc(OC)c(OC(CO)C(O)c6cc(OC)c(Oc7c(OC(CO)C(O)c8cc(OC)c(OC(CO)C(O)c9cc(OC)c(OC(CO)C(O)c%10cc(OC)c%11c(c%12c(OC(CO)C(c%13cc(OC)c(O)c(OC)c%13)O%11)c(OC)cc(C=CCO)c%12)c%10)c(OC)c9)cc8)c(OC)cc(C(O)C(Oc8c(OC)cc(C(O)C(Oc9c(OC)cc(C(O)C(Oc%10c(OC)cc(C(O)C(Oc%11c(OC)cc(C(O)C(Oc%12c(OC)cc(C=CCO)cc%12)CO)cc%11OC)CO)cc%10Oc%10c(OC)cc(C(O)C(Oc%11c(OC)cc(C=CCO)cc%11OC)CO)cc%10)CO)cc9)CO)cc8)CO)c7)c(OC)c6)c(OC)c5)c(OC)c4)c(OC)c3)cc2OC)CO)cc1OC)C(O)c1cc(OC)c(OC(CO)C(O)c2cc(OC)c(OC(CO)C(O)c3cc(OC)c(OC(CO)C(O)c4cc(OC)c(OC(CO)C(O)c5cc(OC)c6c(c7c(OC(CO)C(c8cc(OC)c(OC(CO)C(O)c9cc(OC)c(OC(CO)C(O)c%10cc(OC)c%11c(C(CO)C(c%12cc(OC)c%13c(c%14c(OC(C(CO)O%13)c%13cc(OC)c(OC(CO)C(O)c%15cc(OC)c(OC(CO)C(O)c%16cc(OC)c(OC(CO)C(O)c%17cc(OC)c(O)c(OC)c%17)c(OC)c%16)c(OC)c%15)c(OC)c%13)c(OC)cc(C(O)C(Oc%13c(OC)cc(C(O)C(Oc%15c(OC)cc(C(O)C(Oc%16c(OC)cc(C(O)C(Oc%17c(OC)cc(C%18C%19COC(C%19CO%18)c%18cc(OC)c(OC(CO)C(O)c%19cc(OC)c(OC(CO)C(O)c%20cc(OC)c(OC(CO)C(O)c%21cc(OC)c(O)c(OC)c%21)cc%20)cc%19)c(OC)c%18)cc%17OC)CO)cc%16)CO)cc%15OC)CO)cc%13OC)CO)c%14)c%12)O%11)c%10)c(Oc%10c(OC)cc(C(O)C(Oc%11c(OC)cc(C(O)C(Oc%12c(OC)cc(C%13C(c%14c(O%13)c(OC)cc(C=CCO)c%14)CO)cc%12)CO)cc%11OC)CO)cc%10)c9)c(OC)c8)O6)c(OC)cc(C(O)C(Oc6c(OC)cc(C(O)C(Oc8c(OC)cc(C(O)C(Oc9c(OC)cc(C=CCO)cc9OC)CO)cc8OC)CO)cc6OC)CO)c7)c5)c(OC)c4)cc3)cc2)c(OC)c1
0,0,8,14,1,0,20,0.0,0,0,0,0.045454545454545456,4702.794,22,23.0,36.0,OCC(Oc1c(OC)cc(C(O)C(Oc2c(OC)cc(C(O)C(Oc3c(OC)cc(C(O)C(Oc4c(OC)cc(C(O)C(Oc5c(OC)cc(C(O)C(Oc6c(OC)cc(C(O)C(Oc7c(OC)cc(C(O)C(Oc8c(OC)cc(C=CCO)cc8OC)CO)cc7)CO)cc6OC)CO)cc5)CO)cc4)CO)cc3OC)CO)cc2OC)CO)cc1OC)C(O)c1cc(OC)c(Oc2c(OC(CO)C(O)c3cc(OC)c(OC(CO)C(O)c4cc(OC)c(O)c(OC)c4)c(OC)c3)c(OC)cc(C(O)C(Oc3c(OC)cc(C(O)C(Oc4c(OC)cc(C(O)C(Oc5c(OC)cc(C(O)C(Oc6c(OC)cc(C(O)C(Oc7c(OC)cc(C(O)C(Oc8c(OC)cc(C(O)C(Oc9c(OC)cc(C(O)C(Oc%10c(OC)cc(C(O)C(Oc%11c(OC)cc(C(O)C(Oc%12c(OC)cc(C=CCO)cc%12OC)CO)cc%11OC)CO)cc%10)CO)cc9OC)CO)cc8OC)CO)cc7)CO)cc6OC)CO)cc5)CO)cc4)CO)cc3OC)CO)c2)c(OC)c1
0,0,5,11,1,0,12,0.0,1,1,0,0.0625,3399.474,16,16.0,27.0,OCC(Oc1c(OC)cc(C(O)C(Oc2c(OC)cc(C3C4COC(C4CO3)c3cc(OC)c(OC(CO)C(O)c4cc(OC)c(OC(CO)C(O)c5cc(OC)c(OC(CO)C(O)c6cc(OC)c(OC(CO)C(O)c7cc(OC)c(OC(CO)C(O)c8cc(OC)c(OC(CO)C(O)c9cc(OC)c(O)cc9)cc8)c(OC)c7)c(OC)c6)c(OC)c5)c(OC)c4)c(OC)c3)cc2OC)CO)cc1OC)C(O)c1cc(OC)c(OC(CO)C(O)c2cc(OC)c(OC(CO)C(O)c3cc(OC)c(OC(CO)C(O)c4cc(OC)c(O)c(OC)c4)c(OC)c3)c(OC)c2)c(Oc2c(OC)cc(C3C(c4c(O3)c(OC)cc(C(O)C(Oc3c(OC)cc(C=CCO)cc3)CO)c4)CO)cc2OC)c1
0,0,6,17,2,0,18,0.0,0,2,0,0.043478260869565216,4935.0289999999995,23,22.0,40.0,OCC(Oc1c(OC)cc(C(O)C(Oc2c(OC)cc(C(O)C(Oc3c(OC)cc(C(O)C(Oc4c(OC)cc(C5C6COC(C6CO5)c5cc(OC)c(OC(CO)C(O)c6cc(OC)c(OC(CO)C(O)c7cc(OC)c(OC(CO)C(O)c8cc(OC)c(O)c(Oc9c(OC)cc(C=CCO)cc9OC)c8)c(OC)c7)c(Oc7c(OC)cc(C8C9COC(C9CO8)c8cc(OC)c(OC(CO)C(O)c9cc(OC)c(O)cc9)c(OC)c8)cc7OC)c6)c(OC)c5)cc4OC)CO)cc3OC)CO)cc2OC)CO)cc1OC)C(O)c1cc(OC)c(OC(CO)C(O)c2cc(OC)c(OC(CO)C(O)c3cc(OC)c(OC(CO)C(O)c4cc(OC)c(OC(CO)C(O)c5cc(OC)c(OC(CO)C(O)c6cc(OC)c(OC(CO)C(O)c7cc(OC)c(OC(CO)C(O)c8cc(OC)c(OC(CO)C(O)c9cc(OC)c(OC(CO)C(O)c%10cc(OC)c(OC(CO)C(O)c%11cc(OC)c(O)c(OC)c%11)c(OC)c%10)cc9)cc8)c(OC)c7)c(OC)c6)c(OC)c5)c(OC)c4)c(OC)c3)cc2)c(OC)c1
0,0,10,28,5,0,28,1.0,0,2,0,0.18421052631578946,8118.2699999999995,38,37.0,66.0,OCC(Oc1c(OC)cc(C(O)C(Oc2c(OC)cc(C(O)C(Oc3c(OC)cc(C(O)C(Oc4c(OC)cc(C(O)C(Oc5c(OC)cc(C6C7COC(C7CO6)c6cc(OC)c(O)c(OC)c6)cc5OC)CO)cc4)CO)cc3OC)CO)cc2OC)CO)cc1OC)C(O)c1cc(OC)c(OC(CO)C(O)c2cc(OC)c(OC(CO)C(O)c3cc(OC)c(OC(CO)C(O)c4cc(OC)c(OC(CO)C(O)c5cc(OC)c(OC(CO)C(O)c6cc(OC)c(OC(CO)C(O)c7cc(OC)c(OC(CO)C(O)c8cc(OC)c(OC(CO)C(O)c9cc(OC)c(OC(CO)C(O)c%10cc(OC)c(OC(CO)C(O)c%11cc(OC)c(OC(CO)C(O)c%12cc(OC)c(O)cc%12)c(OC)c%11)c(Oc%11c(OC)cc(C=CCO)cc%11OC)c%10)c(OC)c9)c(OC)c8)c(Oc8c(OC)cc(C(O)C(Oc9c(OC)cc(C(O)C(Oc%10c(OC)cc(C(O)C(Oc%11c(OC)cc(C(O)C(Oc%12c(OC)cc(C(O)C(Oc%13c(OC)cc(C(O)C(Oc%14c(OC)cc(C%15C%16COC(C%16CO%15)c%15cc(OC)c(OC(CO)C(O)c%16cc(OC)c%17c(c%18c(OC(C(CO)O%17)c%17cc(OC)c(OC(CO)C(O)c%19cc(OC)c(O)c(OC)c%19)c(Oc%19c(OC)cc(C=CCO)cc%19OC)c%17)c(OC)cc(C(O)C(Oc%17c(OC)cc(C(O)C(Oc%19c(OC)cc(C=CCO)cc%19OC)CO)cc%17Oc%17c(OC)cc(C=CCO)cc%17OC)CO)c%18)c%16)c(OC)c%15)cc%14OC)CO)cc%13OC)CO)cc%12OC)CO)cc%11OC)CO)cc%10OC)CO)cc9OC)CO)cc8OC)c7)c(OC)c6)c(OC)c5)c(OC)c4)c(OC)c3)cc2)c(Oc2c(OC)cc(C(O)C(Oc3c(OC)cc(C(O)C(Oc4c(OC)cc(C=CCO)cc4OC)CO)cc3OC)CO)cc2OC)c1
0,0,11,35,1,0,43,0.0,0,1,0,0.021739130434782608,10024.172999999999,46,46.0,81.0,OCC(C(O)c1cc(OC)c(OC(CO)C(O)c2cc(OC)c(OC(CO)C(O)c3cc(OC)c(OC(CO)C(O)c4cc(OC)c(OC(CO)C(O)c5cc(OC)c(OC(CO)C(O)c6cc(OC)c(OC(CO)C(O)c7cc(OC)c(OC(CO)C(O)c8cc(OC)c(OC(CO)C(O)c9cc(OC)c(OC(CO)C(O)c%10cc(OC)c(OC(CO)C(O)c%11cc(OC)c(OC(CO)C(O)c%12cc(OC)c(OC(CO)C(O)c%13cc(OC)c(OC(CO)C(O)c%14cc(OC)c(OC(CO)C(O)c%15cc(OC)c(O)c(OC)c%15)c(OC)c%14)c(OC)c%13)cc%12)c(OC)c%11)c(OC)c%10)c(OC)c9)c(OC)c8)c(OC)c7)c(OC)c6)c(Oc6c(OC)cc(C(O)C(Oc7c(OC)cc(C(O)C(Oc8c(OC)cc(C(O)C(Oc9c(OC)cc(C(O)C(Oc%10c(OC)cc(C(O)C(Oc%11c(OC)cc(C(O)C(Oc%12c(OC)cc(C(O)C(Oc%13c(OC)cc(C=CCO)cc%13OC)CO)cc%12OC)CO)cc%11)CO)cc%10OC)CO)cc9OC)CO)cc8)CO)cc7OC)CO)cc6)c5)c(OC)c4)c(OC)c3)c(OC)c2)c(OC)c1)Oc1c(OC)cc(C2OCC3C(OCC23)c2cc(OC)c(OC(CO)C(O)c3cc(OC)c(OC(CO)C(O)c4cc(OC)c(OC(CO)C(O)c5cc(OC)c(OC(CO)C(O)c6cc(OC)c(OC(CO)C(O)c7cc(OC)c(OC(CO)C(O)c8cc(OC)c(OC(CO)C(O)c9cc(OC)c(OC(CO)C(O)c%10cc(OC)c(OC(CO)C(O)c%11cc(OC)c(OC(CO)C(O)c%12cc(OC)c(OC(CO)C(O)c%13cc(OC)c(OC(CO)C(O)c%14cc(OC)c(OC(CO)C(O)c%15cc(OC)c(OC(CO)C(O)c%16cc(OC)c(OC(CO)C(O)c%17cc(OC)c(OC(CO)C(O)c%18cc(OC)c(OC(CO)C(O)c%19cc(OC)c(OC(CO)C(O)c%20cc(OC)c(OC(CO)C(O)c%21cc(OC)c(OC(CO)C(O)c%22cc(OC)c(OC(CO)C(O)c%23cc(OC)c(O)cc%23)cc%22)c(OC)c%21)c(OC)c%20)c(OC)c%19)c(OC)c%18)cc%17)cc%16)cc%15)c(OC)c%14)c(OC)c%13)c(OC)c%12)c(OC)c%11)c(OC)c%10)cc9)c(OC)c8)c(OC)c7)c(OC)c6)c(OC)c5)c(OC)c4)c(OC)c3)c(OC)c2)cc1OC
0,0,14,26,5,0,30,0.0,2,2,0,0.1,8450.622,40,39.0,66.0,OCC(Oc1c(OC)cc(C(O)C(Oc2c(OC)cc(C3C4COC(C4CO3)c3cc(OC)c(OC(CO)C(O)c4cc(OC)c(OC(CO)C(O)c5cc(OC)c(OC(CO)C(O)c6cc(OC)c(OC(CO)C(O)c7cc(OC)c(OC(CO)C(O)c8cc(OC)c(OC(CO)C(O)c9cc(OC)c(OC(CO)C(O)c%10cc(OC)c(O)cc%10)c(Oc%10c(OC)cc(C=CCO)cc%10)c9)c(OC)c8)c(Oc8c(OC)cc(C(O)C(Oc9c(OC)cc(C%10C(c%11c(O%10)c(OC)cc(C(O)C(Oc%10c(OC)cc(C=CCO)cc%10)CO)c%11)CO)cc9OC)CO)cc8OC)c7)c(OC)c6)c(OC)c5)c(Oc5c(OC)cc(C(O)C(Oc6c(OC)cc(C7C8COC(C8CO7)c7cc(OC)c(OC(CO)C(O)c8cc(OC)c(OC(CO)C(O)c9cc(OC)c(OC(CO)C(O)c%10cc(OC)c(OC(CO)C(O)c%11cc(OC)c(OC(CO)C(O)c%12cc(OC)c(OC(CO)C(O)c%13cc(OC)c%14c(C(CO)C(c%15cc(OC)c(Oc%16c(O)c(OC)cc(C=CCO)c%16)c(OC)c%15)O%14)c%13)c(OC)c%12)c(OC)c%11)c(OC)c%10)c(OC)c9)c(OC)c8)cc7)cc6OC)CO)cc5OC)c4)c(OC)c3)cc2)CO)cc1OC)C(O)c1cc(OC)c(OC(CO)C(O)c2cc(OC)c(OC(CO)C(O)c3cc(OC)c(OC(CO)C(O)c4cc(OC)c(OC(CO)C(O)c5cc(OC)c(OC(CO)C(O)c6cc(OC)c(OC(CO)C(O)c7cc(OC)c(OC(CO)C(O)c8cc(OC)c(OC(CO)C(O)c9cc(OC)c(OC(CO)C(O)c%10cc(OC)c(OC(CO)C(O)c%11cc(OC)c(OC(CO)C(O)c%12cc(OC)c(OC(CO)C(O)c%13cc(OC)c(O)c(OC)c%13)c(OC)c%12)c(OC)c%11)c(Oc%11c(OC)cc(C=CCO)cc%11OC)c%10)cc9)c(OC)c8)c(OC)c7)cc6)c(OC)c5)c(OC)c4)c(OC)c3)c(OC)c2)c(OC)c1
0,0,12,35,6,0,36,0.0,2,2,0,0.1276595744680851,10076.255,47,46.0,82.0,OCC(Oc1c(OC)cc(C(O)C(Oc2c(OC)cc(C(O)C(Oc3c(OC)cc(C(O)C(Oc4c(OC)cc(C=CCO)cc4OC)CO)cc3OC)CO)cc2OC)CO)cc1OC)C(O)c1cc(OC)c(OC(CO)C(O)c2cc(OC)c(OC(CO)C(O)c3cc(OC)c(OC(CO)C(O)c4cc(OC)c(OC(CO)C(O)c5cc(OC)c(OC(CO)C(O)c6cc(OC)c(OC(CO)C(O)c7cc(OC)c(OC(CO)C(O)c8cc(OC)c(OC(CO)C(O)c9cc(OC)c(OC(CO)C(O)c%10cc(OC)c%11c(C(CO)C(c%12cc(OC)c(OC(CO)C(O)c%13cc(OC)c(OC(CO)C(O)c%14cc(OC)c(OC(CO)C(O)c%15cc(OC)c(OC(CO)C(O)c%16cc(OC)c(O)c(OC)c%16)cc%15)c(OC)c%14)c(OC)c%13)c(OC)c%12)O%11)c%10)cc9)c(OC)c8)c(OC)c7)c(Oc7c(OC)cc(C(O)C(Oc8c(OC)cc(C9C%10COC(C%10CO9)c9cc(OC)c(O)c(OC)c9)cc8)CO)cc7OC)c6)c(Oc6c(OC)cc(C(O)C(Oc7c(OC)cc(C(O)C(Oc8c(OC)cc(C(O)C(Oc9c(OC)cc(C=CCO)cc9OC)CO)cc8OC)CO)cc7OC)CO)cc6OC)c5)c(OC)c4)c(Oc4c(OC)cc(C(O)C(Oc5c(OC)cc(C(O)C(Oc6c(OC)cc(C7C8COC(C8CO7)c7cc(OC)c(OC(CO)C(O)c8cc(OC)c(OC(CO)C(O)c9cc(OC)c(OC(CO)C(O)c%10cc(OC)c(OC(CO)C(O)c%11cc(OC)c(OC(CO)C(O)c%12cc(OC)c(OC(CO)C(O)c%13cc(OC)c(OC(CO)C(O)c%14cc(OC)c(OC(CO)C(O)c%15cc(OC)c%16c(C(CO)C(c%17cc(OC)c(OC(CO)C(O)c%18cc(OC)c(O)cc%18)c(OC)c%17)O%16)c%15)c(OC)c%14)c(Oc%14c(OC)cc(C(O)C(Oc%15c(OC)cc(C(O)C(Oc%16c(OC)cc(C(O)C(Oc%17c(OC)cc(C=CCO)cc%17OC)CO)cc%16OC)CO)cc%15OC)CO)cc%14OC)c%13)c(OC)c%12)c(OC)c%11)c(Oc%11c(OC)cc(C(O)C(Oc%12c(OC)cc(C=CCO)cc%12OC)CO)cc%11OC)c%10)c(OC)c9)c(OC)c8)c(Oc8c(OC)cc(C=CCO)cc8OC)c7)cc6OC)CO)cc5OC)CO)cc4OC)c3)c(OC)c2)c(OC)c1
0,0,3,11,1,0,10,0.0,1,1,0,0.0,3007.0699999999997,14,14.0,25.0,OCC(Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(OC(CO)C(O)c3cc(OC)c(OC(CO)C(O)c4cc(OC)c(OC(CO)C(O)c5cc(OC)c(OC(CO)C(O)c6cc(OC)c(O)c(OC)c6)c(OC)c5)c(OC)c4)c(OC)c3)cc2)cc1OC)C(O)c1cc(OC)c(OC(CO)C(O)c2cc(OC)c(OC(CO)C(O)c3cc(OC)c4c(C(CO)C(c5cc(OC)c(OC(CO)C(O)c6cc(OC)c(OC(CO)C(O)c7cc(OC)c(OC(CO)C(O)c8cc(OC)c(Oc9c(O)c(OC)cc(C=CCO)c9)c(OC)c8)c(OC)c7)c(OC)c6)c(OC)c5)O4)c3)c(OC)c2)c(OC)c1
0,0,7,23,1,0,27,0.0,0,1,0,0.03333333333333333,6524.629000000001,30,30.0,53.0,OCC(Oc1c(OC)cc(C(O)C(Oc2c(OC)cc(C(O)C(Oc3c(OC)cc(C(O)C(Oc4c(OC)cc(C(O)C(Oc5c(OC)cc(C(O)C(Oc6c(OC)cc(C(O)C(Oc7c(OC)cc(C(O)C(Oc8c(OC)cc(C=CCO)cc8OC)CO)cc7OC)CO)cc6OC)CO)cc5OC)CO)cc4OC)CO)cc3)CO)cc2OC)CO)cc1OC)C(O)c1cc(OC)c(OC(CO)C(O)c2cc(OC)c(OC(CO)C(O)c3cc(OC)c(OC(CO)C(O)c4cc(OC)c(OC(CO)C(O)c5cc(OC)c(OC(CO)C(O)c6cc(OC)c(OC(CO)C(O)c7cc(OC)c(OC(CO)C(O)c8cc(OC)c(OC(CO)C(O)c9cc(OC)c(OC(CO)C(O)c%10cc(OC)c(OC(CO)C(O)c%11cc(OC)c(OC(CO)C(O)c%12cc(OC)c(O)cc%12)c(OC)c%11)c(OC)c%10)c(OC)c9)cc8)c(OC)c7)cc6)cc5)c(Oc5c(OC)cc(C(O)C(Oc6c(OC)cc(C(O)C(Oc7c(OC)cc(C(O)C(Oc8c(OC)cc(C(O)C(Oc9c(OC)cc(C%10C%11COC(C%11CO%10)c%10cc(OC)c(OC(CO)C(O)c%11cc(OC)c(OC(CO)C(O)c%12cc(OC)c(OC(CO)C(O)c%13cc(OC)c(OC(CO)C(O)c%14cc(OC)c(O)c(OC)c%14)c(OC)c%13)c(OC)c%12)c(OC)c%11)c(OC)c%10)cc9OC)CO)cc8OC)CO)cc7OC)CO)cc6OC)CO)cc5OC)c4)cc3)c(OC)c2)c(OC)c1
