,H,G,S,4-O-5,alpha-O-4,beta-O-4,5-5,beta-5,beta-beta,beta-1,branching_coeff,MW,monomer_count,OH_count,OCH3_count,smiles
0,0,0,6,0,0,4,0.0,0,1,0,0.0,1323.354,6,6.0,12.0,OCC(Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(OC(CO)C(O)c3cc(OC)c(O)c(OC)c3)c(OC)c2)cc1OC)C(O)c1cc(OC)c(OC(CO)C(O)c2cc(OC)c(OC(CO)C(O)c3cc(OC)c(O)c(OC)c3)c(OC)c2)c(OC)c1
0,0,1,5,1,0,4,0.0,0,0,0,0.16666666666666666,1293.328,6,7.0,11.0,OCC(Oc1c(OC)cc(C(O)C(Oc2c(OC)cc(C=CCO)cc2OC)CO)cc1Oc1c(OC)cc(C=CCO)cc1OC)C(O)c1cc(OC)c(OC(CO)C(O)c2cc(OC)c(OC(CO)C(O)c3cc(OC)c(O)c(OC)c3)c(OC)c2)c(OC)c1
0,0,2,6,0,0,6,0.0,0,1,0,0.0,1715.7579999999998,8,8.0,14.0,OCC(Oc1c(OC)cc(C(O)C(Oc2c(OC)cc(C(O)C(Oc3c(OC)cc(C4C5COC(C5CO4)c4cc(OC)c(OC(CO)C(O)c5cc(OC)c(O)c(OC)c5)c(OC)c4)cc3)CO)cc2OC)CO)cc1OC)C(O)c1cc(OC)c(OC(CO)C(O)c2cc(OC)c(OC(CO)C(O)c3cc(OC)c(O)c(OC)c3)c(OC)c2)cc1
0,0,2,4,1,0,4,0.0,0,0,0,0.16666666666666666,1263.302,6,7.0,10.0,OCC(Oc1c(OC)cc(C(O)C(Oc2c(OC)cc(C=CCO)cc2OC)CO)cc1Oc1c(OC)cc(C(O)C(Oc2c(OC)cc(C=CCO)cc2)CO)cc1OC)C(O)c1cc(OC)c(OC(CO)C(O)c2cc(OC)c(O)c(OC)c2)c(OC)c1
0,0,2,3,0,0,3,0.0,0,1,0,0.0,1037.074,5,5.0,8.0,Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(OC(CO)C(O)c3cc(OC)c(OC(CO)C(O)c4cc(OC)c(OC(CO)C(O)c5cc(OC)c(O)cc5)c(OC)c4)cc3)c(OC)c2)cc1OC
0,0,4,7,0,0,7,1.0,0,1,0,0.18181818181818182,2298.3599999999997,11,11.0,18.0,OCC(Oc1c(OC)cc(C(O)C(Oc2c(OC)cc(C(O)C(Oc3c(OC)cc(C4C5COC(C5CO4)c4cc(OC)c(O)c(OC)c4)cc3)CO)cc2)CO)cc1OC)C(O)c1cc(OC)c(OC(CO)C(O)c2cc(OC)c(OC(CO)C(O)c3cc(OC)c(OC(CO)C(O)c4cc(OC)c5c(c6c(OC(CO)C(c7cc(OC)c(O)c(OC)c7)O5)c(OC)cc(C(O)C(Oc5c(OC)cc(C=CCO)cc5OC)CO)c6)c4)c(OC)c3)c(OC)c2)c(OC)c1
0,0,1,14,1,0,13,0.0,0,0,0,0.0,3329.38,15,16.0,29.0,OCC(Oc1c(OC)cc(C(O)C(Oc2c(OC)cc(C(O)C(Oc3c(OC)cc(C(O)C(Oc4c(OC)cc(C(O)C(Oc5c(OC)cc(C(O)C(Oc6c(OC)cc(C=CCO)cc6OC)CO)cc5OC)CO)cc4OC)CO)cc3OC)CO)cc2OC)CO)cc1OC)C(O)c1cc(OC)c(OC(CO)C(O)c2cc(OC)c(OC(CO)C(O)c3cc(OC)c(OC(CO)C(O)c4cc(OC)c(OC(CO)C(O)c5cc(OC)c(OC(CO)C(O)c6cc(OC)c(OC(CO)C(O)c7cc(OC)c(Oc8c(OC(CO)C(O)c9cc(OC)c(O)c(OC)c9)c(OC)cc(C=CCO)c8)c(OC)c7)c(OC)c6)c(OC)c5)c(OC)c4)c(OC)c3)c(OC)c2)c(OC)c1
0,0,1,5,0,0,4,0.0,0,1,0,0.0,1293.328,6,6.0,11.0,OCC(C(O)c1cc(OC)c(OC(CO)C(O)c2cc(OC)c(O)cc2)c(OC)c1)Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(OC(CO)C(O)c3cc(OC)c(OC(CO)C(O)c4cc(OC)c(O)c(OC)c4)c(OC)c3)c(OC)c2)cc1OC
0,0,3,2,1,0,3,0.0,0,0,0,0.0,1007.048,5,6.0,7.0,OCC=Cc1cc(OC)c(OC(CO)C(O)c2cc(OC)c(OC(CO)C(O)c3cc(OC)c(OC(CO)C(O)c4cc(OC)c(O)cc4)c(OC)c3)c(OC)c2)c(Oc2c(OC)cc(C=CCO)cc2)c1
0,0,2,2,0,0,1,0.0,1,1,0,0.0,792.831,4,4.0,6.0,OCC1C(Oc2c(OC)cc(C3C4COC(C4CO3)c3cc(OC)c(O)cc3)cc12)c1cc(OC)c(OC(CO)C(O)c2cc(OC)c(O)c(OC)c2)c(OC)c1
0,0,2,3,1,0,2,0.0,0,1,0,0.0,1019.059,5,5.0,8.0,OCC(C(O)c1cc(OC)c(Oc2c(O)c(OC)cc(C=CCO)c2)c(OC)c1)Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(OC(CO)C(O)c3cc(OC)c(O)c(OC)c3)c(OC)c2)cc1
