,H,G,S,4-O-5,alpha-O-4,beta-O-4,5-5,beta-5,beta-beta,beta-1,branching_coeff,MW,monomer_count,OH_count,OCH3_count,smiles
0,0,5,0,0,0,2,0,1,1,0,0.0,896.983,5,5.0,5.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(C3C4COC(C4CO3)c3cc(OC)c(O)cc3)cc2)CO)cc1)Cc1cc(OC)c2c(C(CO)C(c3cc(OC)c(O)cc3)O2)c1
0,0,4,0,0,0,3,0,0,0,0,0.0,720.8119999999999,4,5.0,4.0,OCC(Oc1c(OC)cc(C=CCO)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(O)cc3)cc2)cc1
0,0,4,0,0,0,1,0,1,1,0,0.0,716.78,4,4.0,4.0,OCC1c2c(OC1c1cc(OC)c(OC(CO)Cc3cc(OC)c(O)cc3)cc1)c(OC)cc(C1C3COC(C3CO1)c1cc(OC)c(O)cc1)c2
0,0,6,0,0,0,4,0,1,0,0,0.0,1079.202,6,7.0,6.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(C=CCO)cc2)CO)cc1)Cc1cc(OC)c2c(C(CO)C(c3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(O)cc5)cc4)cc3)O2)c1
0,0,7,0,0,0,4,0,1,1,0,0.0,1257.389,7,7.0,7.0,OCC(Cc1cc(OC)c(OC(CO)Cc2cc(OC)c3c(C(CO)C(c4cc(OC)c(O)cc4)O3)c2)cc1)Oc1c(OC)cc(C2OCC3C(OCC32)c2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(O)cc4)cc3)cc2)cc1
0,0,8,0,0,0,4,0,2,1,0,0.0,1435.576,8,8.0,8.0,OCC1C(Oc2c(OC)cc(CC(Oc3c(OC)cc(CC(Oc4c(OC)cc(C5C6COC(C6CO5)c5cc(OC)c(O)cc5)cc4)CO)cc3)CO)cc12)c1cc(OC)c2c(C(CO)C(c3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(O)cc5)cc4)cc3)O2)c1
0,0,8,0,0,0,5,1,0,1,0,0.0,1437.592,8,9.0,8.0,OCC(Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(O)c(c3c(O)c(OC)cc(C=CCO)c3)c2)cc1)Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(O)cc5)cc4)cc3)cc2)cc1
0,0,5,0,0,0,4,0,0,0,0,0.0,901.015,5,6.0,5.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(C=CCO)cc2)CO)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(O)cc3)cc2)cc1
0,0,11,0,0,0,6,0,3,1,0,0.0,1974.1689999999999,11,11.0,11.0,OCC(Cc1cc(OC)c(OC(CO)Cc2cc(OC)c3c(C(CO)C(c4cc(OC)c(OC(CO)Cc5cc(OC)c6c(C(CO)C(c7cc(OC)c(OC(CO)Cc8cc(OC)c9c(C(CO)C(c%10cc(OC)c(O)cc%10)O9)c8)cc7)O6)c5)cc4)O3)c2)cc1)Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(O)cc4)cc3)cc2)cc1
0,0,9,0,0,0,5,0,3,0,0,0.0,1615.779,9,10.0,9.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(CC(Oc3c(OC)cc(C4C(c5c(O4)c(OC)cc(CC(Oc4c(OC)cc(C=CCO)cc4)CO)c5)CO)cc3)CO)cc2)CO)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c3c(C(CO)C(c4cc(OC)c5c(C(CO)C(c6cc(OC)c(O)cc6)O5)c4)O3)c2)cc1
0,0,4,0,0,0,1,0,1,1,0,0.0,716.78,4,4.0,4.0,Oc1c(OC)cc(C2C(c3c(O2)c(OC)cc(CC(Oc2c(OC)cc(C4C5COC(C5CO4)c4cc(OC)c(O)cc4)cc2)CO)c3)CO)cc1
0,0,5,0,0,0,2,0,1,1,0,0.0,896.983,5,5.0,5.0,OCC(Cc1cc(OC)c2c(C(CO)C(c3cc(OC)c(O)cc3)O2)c1)Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(OC(CO)Cc3cc(OC)c(O)cc3)cc2)cc1
0,0,4,0,0,0,1,0,1,1,0,0.0,716.78,4,4.0,4.0,OCC(Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(O)cc2)cc1)Cc1cc(OC)c2c(C(CO)C(c3cc(OC)c(O)cc3)O2)c1
