,H,G,S,4-O-5,alpha-O-4,beta-O-4,5-5,beta-5,beta-beta,beta-1,branching_coeff,MW,monomer_count,OH_count,OCH3_count,smiles
0,0,1,7,0,0,6,0,0,1,0,0.0,1649.79,8,8.0,15.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(C3C4COC(C4CO3)c3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(OC(CO)Cc6cc(OC)c(O)cc6)c(OC)c5)c(OC)c4)c(OC)c3)cc2OC)CO)cc1OC)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(O)c(OC)c2)c(OC)c1
0,0,2,1,0,0,3,0,0,0,0,0.0,570.635,3,3.0,4.0,OCC1Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(O1)cc4)cc3)c(OC)c2
0,0,2,2,0,0,2,0,0,1,0,0.0,778.848,4,4.0,6.0,OCC(Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(O)cc2)cc1OC)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(O)cc2)c(OC)c1
0,0,2,1,0,0,2,1,0,0,0,0.0,568.6189999999999,3,3.0,4.0,OCC1Cc2cc(OC)c(OC(CO)Cc3cc(OC)c4c(c5c(O1)c(OC)cc(CC(CO)O4)c5)c3)c(OC)c2
0,0,1,5,0,0,4,0,0,1,0,0.0,1229.3319999999999,6,6.0,11.0,OCC(Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(OC(CO)Cc3cc(OC)c(O)c(OC)c3)cc2)cc1OC)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(O)c(OC)c3)c(OC)c2)c(OC)c1
0,0,4,2,0,0,5,0,1,0,0,0.0,1139.254,6,6.0,8.0,OCC1Cc2cc(OC)c(OC(CO)Cc3cc(OC)c4c(C(CO)C(c5cc(OC)c(OC(CO)Cc6cc(OC)c(OC(CO)Cc7cc(OC)c(OC(CO)Cc8cc(OC)c(O1)cc8)c(OC)c7)cc6)c(OC)c5)O4)c3)cc2
0,0,1,5,0,0,4,0,0,1,0,0.0,1229.3319999999999,6,6.0,11.0,OCC(Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(O)c(OC)c3)cc2)c(OC)c1)Oc1c(OC)cc(C2OCC3C(OCC23)c2cc(OC)c(OC(CO)Cc3cc(OC)c(O)c(OC)c3)c(OC)c2)cc1OC
0,0,2,1,0,0,1,0,0,1,0,0.0,568.6189999999999,3,3.0,4.0,Oc1c(OC)cc(CC(CO)Oc2c(OC)cc(C3C4COC(C4CO3)c3cc(OC)c(O)cc3)cc2)cc1OC
0,0,1,3,0,0,4,0,0,0,0,0.0,810.89,4,4.0,7.0,OCC1Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(O1)c(OC)c5)cc4)c(OC)c3)c(OC)c2
0,0,1,2,0,0,2,0,1,0,0,0.0,598.645,3,3.0,5.0,OCC1Cc2cc(OC)c3c(C(CO)C(c4cc(OC)c(OC(CO)Cc5cc(OC)c(O1)c(OC)c5)c(OC)c4)O3)c2
0,0,0,2,0,0,0,0,0,1,0,0.0,418.44199999999995,2,2.0,4.0,Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(O)c(OC)c2)cc1OC
0,0,2,2,0,0,4,0,0,0,0,0.0,780.8639999999999,4,4.0,6.0,OCC1Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(O1)c(OC)c5)cc4)cc3)c(OC)c2
0,0,5,1,0,0,4,1,0,1,0,0.3333333333333333,1107.212,6,6.0,7.0,OCC1Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(O)cc4)cc3)c(c3c(OC(CO)Cc4cc(OC)c(O)cc4)c(OC)cc(C4C5COC(C5CO4)c4cc(OC)c(O1)c(OC)c4)c3)c2
0,0,1,3,0,0,4,0,0,0,0,0.0,810.89,4,4.0,7.0,OCC1Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(O1)cc5)c(OC)c4)c(OC)c3)c(OC)c2
0,0,2,2,0,0,2,0,2,0,0,0.0,776.832,4,4.0,6.0,OCC1C2c3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c6c(C(CO)C(c7cc(OC)c(O2)c1c7)O6)c5)c(OC)c4)c(OC)c3
0,0,1,3,0,0,4,0,0,0,0,0.0,810.89,4,4.0,7.0,OCC1Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(O1)c(OC)c5)c(OC)c4)c(OC)c3)cc2
0,0,0,3,0,0,1,0,0,1,0,0.0,628.671,3,3.0,6.0,Oc1c(OC)cc(CC(Oc2c(OC)cc(C3C4COC(C4CO3)c3cc(OC)c(O)c(OC)c3)cc2OC)CO)cc1OC
0,0,1,2,0,0,2,0,1,0,0,0.0,598.645,3,3.0,5.0,OCC1Cc2cc(OC)c3c(C(CO)C(c4cc(OC)c(OC(CO)Cc5cc(OC)c(O1)c(OC)c5)c(OC)c4)O3)c2
0,0,2,3,0,0,3,0,0,1,0,0.0,989.077,5,5.0,8.0,OCC(Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(O)cc2)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(O)c(OC)c3)c(OC)c2)c(OC)c1
0,0,1,3,0,0,4,0,0,0,0,0.0,810.89,4,4.0,7.0,OCC1Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(O1)c(OC)c5)c(OC)c4)c(OC)c3)cc2
0,0,2,2,0,0,4,0,0,0,0,0.0,780.8639999999999,4,4.0,6.0,OCC1Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(O1)c(OC)c5)cc4)cc3)c(OC)c2
0,0,1,3,0,0,4,0,0,0,0,0.0,810.89,4,4.0,7.0,OCC1Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(O1)cc5)c(OC)c4)c(OC)c3)c(OC)c2
0,0,3,4,0,0,5,0,0,1,0,0.0,1379.509,7,7.0,11.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(CC(Oc3c(OC)cc(C4C5COC(C5CO4)c4cc(OC)c(O)cc4)cc3OC)CO)cc2OC)CO)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(O)c(OC)c3)c(OC)c2)cc1
0,0,1,3,0,0,4,0,0,0,0,0.0,810.89,4,4.0,7.0,OCC1Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(O1)cc5)c(OC)c4)c(OC)c3)c(OC)c2
